smartphone_id,megapixels,diafragma,beeldstabilisatie,flitser
asu_806017,8 MP,2,Elektronische Beeldstabilisatie,Nee
cro_824695,5 MP,2,Geen beeldstabilisatie,Nee
nok_825014,8 MP,"2,2",Geen beeldstabilisatie,Nee
asu_806018,8 MP,2,Geen beeldstabilisatie,Nee
son_818842,8 MP,"2,4",Geen beeldstabilisatie,Ja
hua_828489,16 MP,2,Geen beeldstabilisatie,Nee
mot_813456,5 MP,"2,2",Geen beeldstabilisatie,Ja
app_773394,"1,2 MP","2,2",Geen beeldstabilisatie,Nee
mot_805282,8 MP,2,Geen beeldstabilisatie,Ja
nok_825013,8 MP,"2,2",Geen beeldstabilisatie,Nee
hon_812411,8 MP,"2,2",Geen beeldstabilisatie,Nee
son_827306,8 MP,2,Geen beeldstabilisatie,Nee
opp_825253,8 MP,"2,2",Geen beeldstabilisatie,Nee
mot_805279,8 MP,2,Geen beeldstabilisatie,Ja
son_802502,16 MP,2,Optische Beeldstabilisatie,Ja
mot_794422,8 MP,2,Geen beeldstabilisatie,Ja
opp_825260,8 MP,"2,2",Geen beeldstabilisatie,Nee
cro_789055,2 MP,0,Geen beeldstabilisatie,Nee
sam_794607,13 MP,"2,2",Geen beeldstabilisatie,Ja
hon_822035,16 MP,2,Geen beeldstabilisatie,Nee
mot_769077,5 MP,"2,2",Geen beeldstabilisatie,Nee
sam_812166,24 MP,"1,9",Geen beeldstabilisatie,Ja
hua_829090,8 MP,2,Geen beeldstabilisatie,Nee
hua_829091,8 MP,2,Geen beeldstabilisatie,Nee
son_827305,8 MP,2,Geen beeldstabilisatie,Nee
mot_793113,16 MP,"2,2",Geen beeldstabilisatie,Ja
mot_783249,5 MP,"2,2",Geen beeldstabilisatie,Ja
asu_817610,8 MP,"2,2",Geen beeldstabilisatie,Nee
asu_817613,8 MP,"2,2",Geen beeldstabilisatie,Nee
hon_812402,24 MP,2,Geen beeldstabilisatie,Nee
asu_790332,8 MP,2,Geen beeldstabilisatie,Ja
hon_812400,24 MP,2,Geen beeldstabilisatie,Nee
hon_812403,24 MP,2,Geen beeldstabilisatie,Nee
hua_0,8 MP,"1,9",Geen beeldstabilisatie,Nee
hon_812407,13 MP,0,Geen beeldstabilisatie,Nee
